G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
22,2023-01-31,Buffalo,W,81,64,31,56,.554,12,18,.667,7,10,.700,5,24,23,10,6,15,15,24,57,.421,5,20,.250,11,16,.688,11,31,16,8,5,18,14
23,2023-02-03,Kent State,W,67,55,19,45,.422,9,22,.409,20,25,.800,6,30,12,6,4,12,14,21,56,.375,6,26,.231,7,11,.636,6,19,7,7,1,11,21
24,2023-02-07,Toledo,L,74,84,27,66,.409,11,32,.344,9,11,.818,11,27,11,5,2,10,23,26,50,.520,9,18,.500,23,28,.821,7,32,14,1,4,8,12
25,2023-02-10,Ohio,L,81,90,30,59,.508,11,23,.478,10,18,.556,10,29,11,5,5,12,18,30,62,.484,10,16,.625,20,23,.870,10,29,13,7,1,10,18
26,2023-02-14,Eastern Michigan,W,78,51,28,64,.438,10,30,.333,12,17,.706,15,42,14,4,2,8,12,19,50,.380,1,15,.067,12,14,.857,3,23,9,4,3,12,17
27,2023-02-18,Buffalo,W,86,66,29,61,.475,8,22,.364,20,23,.870,11,33,15,7,3,10,14,26,56,.464,6,18,.333,8,12,.667,5,25,9,4,1,13,20
28,2023-02-21,Toledo,L,63,84,26,59,.441,4,21,.190,7,14,.500,9,32,10,3,0,10,11,32,61,.525,10,20,.500,10,13,.769,7,32,16,7,7,7,17
29,2023-02-25,Western Michigan,W,81,64,29,55,.527,13,32,.406,10,15,.667,4,30,22,7,2,5,14,22,59,.373,12,39,.308,8,10,.800,6,24,7,3,0,12,13
30,2023-02-28,Ball State,W,87,83,26,59,.441,12,31,.387,23,27,.852,9,29,12,5,0,9,14,31,60,.517,12,25,.480,9,11,.818,6,32,15,5,2,9,23
31,2023-03-03,Kent State,L (1 OT),84,89,25,57,.439,8,27,.296,26,32,.813,5,25,13,7,3,12,21,30,58,.517,7,19,.368,22,25,.880,7,33,13,7,4,13,25
32,2023-03-09,Buffalo,W,101,77,36,61,.590,13,25,.520,16,19,.842,6,33,18,5,2,12,23,26,66,.394,6,23,.261,19,25,.760,12,31,5,7,1,12,21
33,2023-03-10,Kent State,L,73,79,25,55,.455,7,22,.318,16,18,.889,5,31,10,3,6,18,23,25,66,.379,9,26,.346,20,28,.714,13,33,8,10,2,6,18
1,2022-11-07,Longwood,W,75,54,27,69,.391,3,28,.107,18,26,.692,19,62,10,6,9,19,18,19,71,.268,5,13,.385,11,19,.579,12,35,8,8,3,9,22
2,2022-11-11,Liberty,W,95,59,27,52,.519,10,22,.455,31,38,.816,11,42,14,8,6,15,23,18,55,.327,8,29,.276,15,20,.750,3,17,13,6,1,13,25
3,2022-11-15,South Alabama,W,65,55,22,68,.324,10,35,.286,11,20,.550,24,58,11,4,9,20,18,21,71,.296,2,23,.087,11,18,.611,13,36,4,7,5,9,16
